,AV,Cmp%,DOB,End_Year,FF,FGA,FGM,FantPt,G,GS,Int,Player,Pos,QBrec,Rec,Ret,Rt,Rush,Sk,Start_Year,TD,Tkl,XPA,XPM,Y/A,Y/R,Yds,Draft_Pick,Draft_Round,Draft_Year,position_group,injured_pct
552,7,,1988-07-29,2015,,,,113.8,33,,,Kenbrell Thompkins,WR,,70,,,,,2013,4,,,,,12.8,893,,,,WR,0.06
553,5,,1990-01-04,2016,,,,,37,11,,Malliciah Goodman,DE,,,,,,,2013,,,,,,,,127,4,2008,DL,0.09
554,1,,1989-03-16,2014,,,,17.3,27,,,Jeff Maehl,WR,,9,,,,,2011,1,,,,,12.6,113,,,,WR,0.08
555,2,,1989-10-27,2015,,,,,21,3,,Shaun Prater,CB,,,,,,,2012,,,,,,,,156,5,2008,DB,0.5
556,157,64.1,1982-03-02,2016,,,,2917.9,185,,160,Ben Roethlisberger,QB,123-60-0,,,,,,2004,301,,,,7.9,,46814,11,1,2008,QB,0.05
557,83,,1985-01-04,2016,,,,,153,,23,Eric Weddle,DB,,,,,,,2007,3,,,,,,382,37,2,2008,DB,0.1
561,1,,1990-01-29,2012,,,,,4,1,,Brandon Taylor,SS,,,,,,,2012,,,,,,,,73,3,2008,DB,0.25
562,1,,1987-11-02,2015,,,,,42,,,Marcus Easley,WR,,,,7,,,2012,0,,,,,,171,,,,WR,0.52
563,11,,1991-03-19,2016,1,,,,45,,,Dee Ford,DE,,,,,,15.5,2014,,49,,,,,,23,1,2008,DL,0.02
564,61,,1985-01-14,2015,,,,,93,,10,Jon Beason,LB,,,,,,,2007,0,,,,,,116,25,1,2008,LB,0.45
565,14,,1984-09-21,2014,,,,217.4,100,,,Derek Hagan,WR,,148,,,,,2006,7,,,,,11.7,1734,82,3,2008,WR,0.03
566,2,,1990-11-10,2014,,,,,20,2,,Emmanuel Acho,OLB,,,,,,,2012,,,,,,,,204,6,2008,LB,0.53
567,2,,1989-06-11,2016,,,,,26,3,,Demetri Goodson,CB,,,,,,,2014,,,,,,,,197,6,2008,DB,0.21
568,21,,1992-05-13,2016,,,,,50,,9,Tyrann Mathieu,CB,,,,,,,2013,1,,,,,,117,69,3,2008,DB,0.19
570,47,62.3,1987-11-08,2016,,,,1044.2,78,,57,Sam Bradford,QB,32-45-1,,,,,,2010,98,,,,6.6,,18667,1,1,2008,QB,0.52
571,44,,1982-03-28,2014,,,,,137,95,,Chris Spencer,C,,,,,,,2005,,,,,,,,26,1,2008,OL,0.08
572,24,,1989-09-26,2016,0,,,,76,,,Kendall Reyes,DT,,,,,,14.5,2012,,98,,,,,,49,2,2008,DL,0.0
573,34,,1987-06-24,2016,4,,,,90,,,Lamarr Houston,DT,,,,,,25.5,2010,,217,,,,,,44,2,2008,DL,0.46
574,3,,1992-12-10,2016,1,,,,19,,,Ben Heeney,ILB,,,,,,2.5,2015,,38,,,,,,140,5,2008,LB,0.41
575,47,,1979-09-22,2011,,,,882.6,151,,,Chester Taylor,RB,,,,,1160,,2002,26,,,,4.1,,4740,207,6,2008,RB,0.0
576,24,,1985-02-23,2015,,,,391.5,93,,,Brandon Pettigrew,TE,,301,,,,,2009,17,,,,,9.9,2965,20,1,2008,TE,0.16
577,2,53.8,1984-10-27,2012,,,,158.0,24,,17,Brady Quinn,QB,4-16-0,,,,,,2007,12,,,,5.5,,3043,22,1,2008,QB,0.25
578,11,,1989-08-20,2015,,,,,47,18,,James-Michael Johnson,ILB,,,,,,,2012,,,,,,,,120,4,2008,LB,0.1
579,11,,1991-05-13,2016,,,,,63,,5,Shawn Williams,SS,,,,,,,2013,0,,,,,,28,84,3,2008,DB,0.02
580,20,,1993-08-24,2016,,,,419.1,42,,,Allen Robinson,WR,,201,,,,,2014,22,,,,,14.1,2831,61,2,2008,WR,0.19
581,12,,1993-08-20,2016,0,,,,32,,,Danny Shelton,DT,,,,,,1.5,2015,,51,,,,,,12,1,2008,DL,0.0
582,60,,1986-08-08,2016,,,,931.0,132,,,Pierre Garcon,WR,,564,,,,,2008,37,,,,,12.5,7068,205,6,2008,WR,0.11
583,21,,1985-07-27,2015,,,,,97,,6,Husain Abdullah,DB,,,,,,,2008,2,,,,,,120,,,,DB,0.14
584,45,,1980-12-18,2015,,,,717.3,163,,,Ben Watson,TE,,434,,,,,2004,38,,,,,11.4,4963,32,1,2008,TE,0.16
585,30,,1985-03-22,2015,,,,,101,,10,Mike Jenkins,DB,,,,,,,2008,1,,,,,,22,25,1,2008,DB,0.31
586,23,,1982-09-15,2013,,,,,83,,,Aaron Ross,DB,,,23,,,,2007,0,,,,,,152,20,1,2008,DB,0.45
588,38,,1988-04-10,2016,,,,,124,,,Captain Munnerlyn,DB,,,75,,,,2009,0,,,,,,677,216,7,2008,DB,0.03
590,15,,1990-03-07,2015,,,,,50,,4,Will Hill,S,,,,,,,2012,2,,,,,,107,,,,DB,0.0
591,4,,1991-04-25,2013,,,,81.4,23,,,Stephen Hill,WR,,45,,,,,2012,4,,,,,13.2,594,43,2,2008,WR,0.28
592,92,,1978-12-30,2014,,,,,219,203,,Dominic Raiola,C,,,,,,,2001,,,,,,,,50,2,2008,OL,0.03
593,31,,1977-04-20,2010,,,,513.1,162,,,Desmond Clark,TE,,323,,,,,1999,27,,,,,11.1,3591,,,,TE,0.19
595,11,,1988-10-29,2015,,,,,56,,6,Cortez Allen,DB,,,,,,,2011,1,,,,,,76,128,4,2008,DB,0.34
596,89,,1981-05-27,2013,9,,,,158,,,Darnell Dockett,DT,,,,,,40.5,2004,,349,,,,,,64,3,2008,DL,0.19
597,16,,1990-04-12,2016,5,,,,60,,,Nick Perry,DE,,,,,,23.5,2012,,111,,,,,,28,1,2008,DL,0.24
598,3,,1990-01-16,2014,,,,80.1,23,,,Joseph Fauria,TE,,24,,,,,2013,8,,,,,11.7,281,,,,TE,0.56
599,52,,1982-12-30,2014,,,,,130,,13,Dawan Landry,DB,,,,,,,2006,3,,,,,,326,146,5,2008,DB,0.0
600,0,,1988-07-19,2014,,,,,8,,,Dontay Moch,DL,,,,,,,2012,,,,,,,,,,,DL,0.5
601,16,,1993-11-04,2016,,,,,27,23,,Andrus Peat,OT,,,,,,,2015,,,,,,,,13,1,2008,OL,0.12
602,7,,1993-01-05,2016,,,,94.0,26,,,Phillip Dorsett,WR,,51,,,,,2015,3,,,,,14.8,753,29,1,2008,WR,0.16
603,24,60.4,1989-01-20,2016,,,,589.3,42,,27,Nick Foles,QB,20-16-0,,,,,,2012,56,,,,7.2,,9215,88,3,2008,QB,0.28
604,14,,1991-11-29,2016,0,,,,56,,,Akeem Spence,DT,,,,,,5.5,2013,,65,,,,,,100,4,2008,DL,0.17
605,30,,1986-07-09,2014,,,,,110,,,Antoine Cason,DB,,,16,,,,2008,0,,,,,,257,27,1,2008,DB,0.0
606,150,,1978-05-25,2012,11,,,,182,,,Brian Urlacher,LB,,,,,,41.5,2000,,1040,,,,,,9,1,2008,LB,0.3
607,8,,1987-10-28,2014,,,,,69,,,Javier Arenas,DB,,,106,,,,2010,0,,,,,,1029,50,2,2008,DB,0.02
608,0,,1990-02-09,2013,,,,,5,,,Brandon Jenkins,OLB,,,,,,,2013,,,,,,,,162,5,2008,LB,0.19
609,49,,1982-11-09,2015,,,,775.1,131,,,Owen Daniels,TE,,479,,,,,2006,36,,,,,11.8,5661,98,4,2008,TE,0.24
610,17,,1982-07-26,2013,,,,288.7,120,,,Joel Dreessen,TE,,158,,,,,2005,19,,,,,11.2,1767,198,6,2008,TE,0.04
611,1,,1992-03-01,2014,,,,24.2,15,,,Silas Redd,RB,,8,,,16,,2014,0,,,,4.7,13.4,107,,,,RB,0.06
612,77,,1984-11-27,2016,3,,,,171,,,Domata Peko,DT,,,,,,18.5,2006,,265,,,,,,123,4,2008,DL,0.1
613,6,,1990-01-07,2016,,,,,49,,2,B.W. Webb,CB,,,,,,,2013,0,,,,,,7,114,4,2008,DB,0.0
614,11,,1991-01-28,2016,,,,259.9,38,,,Terrance West,RB,,,,,426,,2014,9,,,,3.9,,1678,94,3,2008,RB,0.0
615,1,,1992-11-24,2016,,,,14.1,12,,,Jeff Heuerman,TE,,9,,,,,2016,0,,,,,15.7,141,,,,TE,0.06
616,3,,1986-02-16,2010,,,,,18,,,Victor Harris,DB,,,,19,,,2009,0,,,,,,394,157,5,2008,DB,0.06
617,10,,1988-09-23,2016,1,,,,50,,,Antonio Allen,SS,,,,,,2.5,2012,,77,,,,,,242,7,2008,DB,0.33
618,12,,1983-04-23,2010,,,,251.3,53,,,Mike Bell,RB,,,,,395,,2006,14,,,,3.7,,1475,,,,RB,0.09
619,4,,1988-08-17,2013,1,,,,37,,,Johnny Patrick,DB,,,,,,1.5,2011,,62,,,,,,88,3,2008,DB,0.1
620,23,,1981-12-07,2010,2,,,,91,,,Tank Johnson,DT,,,,,,14.0,2004,,93,,,,,,47,2,2008,DL,0.34
621,22,,1990-02-11,2015,,,,,64,,9,Rahim Moore,FS,,,,,,,2011,0,,,,,,112,45,2,2008,DB,0.17
622,34,,1977-07-03,2010,7,,,,167,,,David Bowens,DE,,,,,,38.5,1999,,227,,,,,,,,,DL,0.03
623,11,,1990-09-27,2016,,,,152.1,38,,,Dion Lewis,RB,,,,,149,,2011,4,,,,4.6,,688,149,5,2008,RB,0.45
624,49,,1985-08-08,2016,,,,,122,94,,John Sullivan,C,,,,,,,2008,,,,,,,,187,6,2008,OL,0.17
625,52,,1990-08-22,2016,,,,685.3,81,,,Randall Cobb,WR,,366,,,,,2011,35,,,,,12.3,4488,64,2,2008,WR,0.19
626,138,59.0,1976-11-25,2011,,,,2633.2,167,,117,Donovan McNabb,QB,98-62-1,,,,,,1999,234,,,,6.9,,37276,,,,QB,0.08
628,19,,1988-02-19,2016,0,,,,76,,,Bruce Carter,LB,,,,,,5.0,2011,,217,,,,,,40,2,2008,LB,0.21
629,0,,1985-12-19,2011,,,,3.6,12,,,DeMarco Sampson,WR,,3,,,,,2011,0,,,,,12.0,36,249,7,2008,WR,0.25
630,37,,1989-01-26,2016,,,,681.9,92,,,Torrey Smith,WR,,266,,,,,2011,37,,,,,17.0,4521,58,2,2008,WR,0.04
631,12,,1984-10-09,2012,0,,,,36,,,Matt Toeaina,DT,,,,,,2.0,2007,,35,,,,,,187,6,2008,DL,0.25
632,15,,1982-07-16,2012,,,,,90,,,Roscoe Parrish,WR,,,165,,,,2005,3,,,,,,1920,55,2,2008,WR,0.5
633,36,,1988-02-25,2016,,,,,94,,16,Reshad Jones,DB,,,,,,,2010,3,,,,,,237,163,5,2008,DB,0.12
634,16,,1987-05-30,2015,,,,,95,,,Kyle Wilson,DB,,,23,,,,2010,0,,,,,,154,29,1,2008,DB,0.33
635,18,,1986-02-04,2015,,,,256.0,62,,,Jerome Simpson,WR,,150,,,,,2008,9,,,,,13.7,2058,46,2,2008,WR,0.02
636,23,,1985-09-19,2016,3,,,,94,,,Willie Young,DE,,,,,,30.0,2010,,119,,,,,,213,7,2008,DL,0.05
637,4,,1990-01-19,2016,,,,,47,2,,Michael Mauti,OLB,,,,,,,2013,,,,,,,,213,7,2008,LB,0.2
638,123,,1984-01-21,2016,6,,,,162,,,Haloti Ngata,DT,,,,,,29.5,2006,,308,,,,,,12,1,2008,DL,0.07
639,16,,1985-09-22,2016,,,,310.8,124,,,Gary Barnidge,TE,,178,,,,,2008,14,,,,,12.7,2258,141,5,2008,TE,0.24
640,1,,1978-06-16,2011,,,,49.5,140,,,Moran Norris,FB,,38,,,28,,2001,1,,,,2.4,5.2,67,115,4,2008,FB,0.25
641,2,,1989-06-14,2014,,,,61.2,34,,,Jerrel Jernigan,WR,,38,,,,,2011,2,,,,,10.3,391,83,3,2008,WR,0.35
642,25,,1989-09-08,2016,,,,395.5,64,,,Terrance Williams,WR,,177,,,,,2013,20,,,,,15.8,2791,74,3,2008,WR,0.0
643,6,,1993-01-05,2016,,,,,34,,,De'Anthony Thomas,RB,,,63,,,,2014,1,,,,,,632,124,4,2008,RB,0.31
644,29,59.3,1985-07-02,2016,,,,660.8,65,,63,Chad Henne,QB,18-35-0,,,,,,2008,58,,,,6.6,,12931,57,2,2008,QB,0.27
645,12,,1990-05-29,2016,,,,191.1,53,,,Ladarius Green,TE,,95,,,,,2012,8,,,,,14.6,1391,110,4,2008,TE,0.29
646,44,,1979-04-10,2012,3,,,,141,,,Kenyon Coleman,DE,,,,,,13.5,2002,,264,,,,,,147,5,2008,DL,0.44
647,22,,1989-04-26,2016,12,,,,61,,,Melvin Ingram,DE,,,,,,24.5,2012,,142,,,,,,18,1,2008,DL,0.59
648,51,,1989-02-28,2016,15,,,,102,,,Carlos Dunlap,DE,,,,,,57.0,2010,,214,,,,,,54,2,2008,DL,0.06
649,66,,1977-03-25,2011,3,,,,180,,,Fred Robbins,DT,,,,,,35.5,2000,,264,,,,,,55,2,2008,DL,0.02
650,0,,1986-09-30,2013,,,,10.5,44,,,Quinn Johnson,RB,,13,,,,,2009,0,,,,,7.7,100,145,5,2008,RB,0.27
651,9,,1988-04-27,2016,1,,,,58,,,John Hughes,DT,,,,,,5.5,2012,,57,,,,,,87,3,2008,DL,0.17
652,9,,1990-09-29,2016,,,,,48,,3,Jamar Taylor,CB,,,,,,,2013,0,,,,,,43,54,2,2008,DB,0.17
653,4,,1989-02-18,2016,1,,,,36,,,Tank Carradine,DE,,,,,,4.0,2014,,40,,,,,,,,,DL,0.69
654,24,,1992-10-27,2016,,,,,48,,3,Preston Brown,ILB,,,,,,,2014,1,,,,,,46,73,3,2008,LB,0.0
655,7,,1991-02-12,2016,0,,,,34,,,Kerry Wynn,DE,,,,,,2.0,2014,,49,,,,,,,,,DL,0.06
656,21,,1989-09-10,2016,4,,,1696.9,47,,,Brandon Marshall,OLB,,941,,,,3.5,2012,82,213,,,,12.8,12061,142,5,2008,LB,0.1
657,15,,1988-11-15,2016,,,,,72,,2,Coty Sensabaugh,CB,,,,,,,2012,1,,,,,,42,115,4,2008,DB,0.12
658,34,,1981-02-24,2011,,,,,50,,6,Bob Sanders,DB,,,,,,,2004,0,,,,,,61,44,2,2008,DB,0.9
660,20,,1985-07-23,2015,,,,358.9,90,,,Scott Chandler,TE,,205,,,,,2007,21,,,,,11.6,2379,129,4,2008,TE,0.06
661,0,,1991-01-12,2016,,,,,3,,,Sean Porter,OLB,,,,,,,2014,,,,,,,,,,,LB,0.75
662,9,,1992-08-19,2016,,,,,22,13,,Ramik Wilson,ILB,,,,,,,2015,,,,,,,,118,4,2008,LB,0.31
663,10,,1987-05-11,2012,,,,,40,21,,Justin King,DB,,,,,,,2009,,,,,,,,,,,DB,0.14
664,41,,1979-07-02,2011,,,,,132,,19,Brian Williams,DB,,,,,,,2002,1,,,,,,323,105,4,2008,DB,0.34
665,6,,1988-09-21,2016,,,,,63,7,,Kelcie McCray,S,,,,,,,2012,,,,,,,,,,,DB,1.0
666,3,,1991-12-23,2016,,,,77.2,19,,,Lorenzo Taliaferro,RB,,,,,82,,2014,5,,,,4.1,,339,138,4,2008,RB,0.6
667,29,,1989-10-23,2016,4,,,,65,,,Zach Brown,OLB,,,,,,14.0,2012,,292,,,,,,52,2,2008,LB,0.23
669,24,,1988-06-21,2016,2,,,,74,,,Cedric Thornton,DT,,,,,,5.5,2012,,132,,,,,,,,,DL,0.05
671,0,,1988-09-30,2012,,,,,,,,Zach Hurd,OL,,,,,,,2012,,,,,,,,,,,OL,1.0
672,11,,1979-04-05,2010,,,,,107,,,Dante Wesley,DB,,,2,,,,2002,0,,,,,,0,100,4,2008,DB,0.0
673,54,,1983-05-03,2011,,,,878.0,78,,,Joseph Addai,RB,,,,,1095,,2006,39,,,,4.1,,4453,30,1,2008,RB,0.27
675,6,,1986-12-10,2012,,,,,29,14,,Edwin Williams,C,,,,,,,2009,,,,,,,,,,,OL,0.03
677,19,,1992-07-08,2016,8,,,,32,,,Vic Beasley,OLB,,,,,,19.5,2015,,52,,,,,,8,1,2008,LB,0.0
678,3,,1985-07-07,2010,,,,39.2,28,,,David Clowney,WR,,22,,,,,2008,1,,,,,15.5,341,,,,WR,0.0
679,33,,1988-08-13,2016,8,,,,104,,,Jerry Hughes,DE,,,,,,36.0,2010,,167,,,,,,31,1,2008,DL,0.0
681,76,,1983-06-20,2016,,,,1084.8,168,,,Darren Sproles,RB,,525,,,671,,2005,30,,,,4.9,8.7,4583,130,4,2008,RB,0.08
682,8,,1988-09-08,2016,,,,137.2,52,,,Arrelious Benn,WR,,64,,,,,2010,6,,,,,15.3,978,39,2,2008,WR,0.39
683,28,,1988-12-08,2016,,,,,91,,10,Marcus Gilchrist,DB,,,,,,,2011,0,,,,,,125,50,2,2008,DB,0.1
684,3,,1988-06-12,2016,1,,,,64,,,Jeron Johnson,DB,,,,,,2.0,2011,,40,,,,,,,,,DB,0.2
685,21,,1992-06-30,2016,,,,,48,48,,Russell Bodine,OG,,,,,,,2014,,,,,,,,111,4,2008,OL,0.0
686,9,,1983-07-20,2010,4,,,,43,,,Jacob Ford,LB,,,,,,15.5,2008,,69,,,,,,,,,LB,0.06
687,1,,1985-05-05,2010,,,,,12,1,,Terrence Wheatley,DB,,,,,,,2008,,,,,,,,62,2,2008,DB,0.25
689,14,,1991-11-18,2016,,,,,31,30,,T.J. Clemmings,OT,,,,,,,2015,,,,,,,,110,4,2008,OL,0.0
690,13,,1987-07-25,2016,,,,220.8,108,,,Ed Dickson,TE,,148,,,,,2010,11,,,,,10.5,1548,70,3,2008,TE,0.05
691,16,,1993-06-23,2016,,,,,32,31,,Donovan Smith,OT,,,,,,,2015,,,,,,,,34,2,2008,OL,0.0
692,12,,1985-05-19,2012,,,,,53,,2,Tyrell Johnson,DB,,,,,,,2008,0,,,,,,0,43,2,2008,DB,0.21
693,164,64.4,1981-12-08,2016,,,,2777.9,180,,156,Philip Rivers,QB,97-79-0,,,,,,2004,314,,,,7.7,,45833,4,1,2008,QB,0.0
694,1,,1991-06-01,2014,,,,35.0,6,,,Edwin Baker,RB,,,,,44,,2012,2,,,,3.9,,173,250,7,2008,RB,0.06
695,13,,1988-06-13,2014,,,,,48,26,,Gabe Carimi,OL,,,,,,,2011,,,,,,,,29,1,2008,OL,0.25
696,17,,1987-03-28,2015,,,,296.4,82,,,Toby Gerhart,RB,,,,,397,,2010,7,,,,4.2,,1675,51,2,2008,RB,0.2
697,31,,1981-03-12,2010,9,,,,101,,,Landon Johnson,LB,,,,,,3.5,2004,,339,,,,,,96,3,2008,LB,0.31
698,46,,1979-11-20,2011,6,,,,141,,,Tyler Brayton,DE,,,,,,17.5,2003,,242,,,,,,32,1,2008,DL,0.04
699,40,,1980-07-06,2012,6,,,,138,,,Demorrio Williams,LB,,,,,,7.5,2004,,478,,,,,,101,4,2008,LB,0.19
700,132,,1979-09-30,2014,16,,,,221,,,Justin Smith,DE,,,,,,87.0,2001,,613,,,,,,4,1,2008,DL,0.0
701,1,,1992-03-24,2016,,,,10.2,20,,,MyCole Pruitt,TE,,12,,,,,2015,0,,,,,8.5,102,143,5,2008,TE,0.0
702,2,,1987-04-28,2010,1,,,,25,,,Alex Magee,DT,,,,,,4.0,2009,,14,,,,,,67,3,2008,DL,0.06
703,20,,1989-04-26,2016,,,,,72,31,,Chris Hairston,OL,,,,,,,2011,,,,,,,,122,4,2008,OL,0.24
704,91,,1980-10-28,2015,21,,,,187,,,Calvin Pace,DE,,,,,,60.0,2003,,462,,,,,,18,1,2008,DL,0.04
705,63,,1988-02-12,2016,,,,1110.4,84,,,DeMarco Murray,RB,,,,,1420,,2011,43,,,,4.6,,6515,71,3,2008,RB,0.15
706,13,,1984-02-18,2010,3,,,,49,,,Clifton Ryan,DT,,,,,,3.0,2007,,82,,,,,,154,5,2008,DL,0.44
707,14,,1980-11-24,2011,5,,,,89,,,Donald Strickland,DB,,,,,,4.0,2003,,193,,,,,,90,3,2008,DB,0.17
708,0,,1989-04-25,2012,,,,,,,,Markus Zusevics,OL,,,,,,,2012,,,,,,,,,,,OL,0.91
709,0,,1990-02-24,2012,,,,,,,,Caleb McSurdy,ILB,,,,,,,2012,,,,,,,,222,7,2008,LB,1.0
710,0,,1988-12-17,2012,,,,,1,,,John Griffin,RB,,,,,,,2012,,,,,,,,,,,RB,1.0
712,2,,1992-11-27,2016,,,,,24,4,,Jaylen Watkins,CB,,,,,,,2014,,,,,,,,101,4,2008,DB,0.16
713,8,,1983-07-28,2011,,,,119.5,67,,,David Anderson,WR,,88,,,,,2006,4,,,,,11.0,965,251,7,2008,WR,0.12
714,37,,1986-12-05,2016,,,,828.9,100,,,LeGarrette Blount,RB,,,,,1168,,2010,49,,,,4.4,,5122,,,,RB,0.08
715,18,,1986-04-06,2012,4,,,,48,,,Aaron Curry,LB,,,,,,5.5,2009,,190,,,,,,4,1,2008,LB,0.21
716,4,,1986-11-15,2011,,,,,55,,,Devin Thomas,WR,,,,60,,,2008,0,,,,,,1445,34,2,2008,WR,0.06
717,22,,1978-11-16,2012,,,,396.0,148,,,Daniel Graham,TE,,224,,,,,2002,25,,,,,11.1,2490,21,1,2008,TE,0.02
718,3,,1985-10-16,2011,,,,,25,6,,Frank Okam,DT,,,,,,,2008,,,,,,,,151,5,2008,DL,0.19
720,2,,1992-03-31,2016,0,,,,37,,,Marcus Smith,DE,,,,,,4.0,2014,,12,,,,,,26,1,2008,DL,0.12
721,113,,1983-08-31,2016,,,,2056.7,202,,,Larry Fitzgerald,WR,,1125,,,,,2004,104,,,,,12.8,14389,3,1,2008,WR,0.02
722,0,,1990-01-11,2012,,,,,,,,DeQuan Menzie,CB,,,,,,,2012,,,,,,,,146,5,2008,DB,1.0
723,17,,1991-09-01,2016,,,,,59,,6,D.J. Swearinger,FS,,,,,,,2013,0,,,,,,44,57,2,2008,DB,0.04
724,0,,1985-10-26,2010,,,,,3,,,Chip Vaughn,DB,,,,,,,2010,,,,,,,,,,,DB,0.69
725,3,,1983-01-10,2014,,,,,92,,,Courtney Roby,WR,,,,121,,,2005,1,,,,,,3007,68,3,2008,WR,0.12
726,5,,1992-07-25,2016,,,,,30,,3,Trae Waynes,CB,,,,,,,2015,0,,,,,,4,11,1,2008,DB,0.06
727,37,,1991-02-22,2016,8,,,,48,,,Khalil Mack,OLB,,,,,,30.0,2014,,170,,,,,,5,1,2008,LB,0.0
728,19,,1991-03-17,2016,,,,,64,,,Cordarrelle Patterson,WR,,,,134,,,2013,5,,,,,,4075,29,1,2008,WR,0.0
729,1,,1986-06-29,2013,,,,10.1,19,,,Stephen Williams,WR,,9,,,,,2010,0,,,,,11.2,101,,,,WR,0.31
730,7,,1982-12-18,2010,,,,,53,,4,Pat Watkins,DB,,,,,,,2006,0,,,,,,45,138,5,2008,DB,0.19
731,1,,1986-10-24,2013,,,,,15,2,,Kion Wilson,LB,,,,,,,2010,,,,,,,,,,,LB,0.12
732,4,,1988-04-02,2012,,,,,27,5,,Kevin Rutland,CB,,,,,,,2011,,,,,,,,,,,DB,0.03
733,36,,1986-02-15,2016,8,,,,114,,,Paul Kruger,DE,,,,,,35.0,2009,,147,,,,,,57,2,2008,DL,0.05
734,6,,1988-10-16,2016,,,,,52,8,,Ron Brooks,CB,,,,,,,2012,,,,,,,,124,4,2008,DB,0.34
735,20,,1992-04-10,2016,,,,319.3,57,,,Robert Woods,WR,,203,,,,,2013,12,,,,,12.1,2451,41,2,2008,WR,0.08
736,5,,1986-08-02,2011,,,,,39,7,,Dominique Barber,DB,,,,,,,2008,,,,,,,,173,6,2008,DB,0.44
737,42,,1984-05-25,2012,8,,,,75,,,Shawne Merriman,LB,,,,,,45.5,2005,,196,,,,,,12,1,2008,LB,0.33
738,8,,1990-08-08,2016,0,,,,44,,,Ra'Shede Hageman,DT,,,,,,4.0,2014,,40,,,,,,37,2,2008,DL,0.0
739,40,,1987-12-22,2016,6,,,,106,,,Everson Griffen,DE,,,,,,48.0,2010,,158,,,,,,100,4,2008,DL,0.0
740,5,,1992-06-01,2016,,,,,24,11,,Clayton Geathers,SS,,,,,,,2015,,,,,,,,109,4,2008,DB,0.25
741,39,,1982-03-02,2013,,,,,121,,20,Corey Webster,DB,,,,,,,2005,1,,,,,,226,43,2,2008,DB,0.2
742,63,,1985-07-24,2016,,,,,157,,11,Donte Whitner,DB,,,,,,,2006,2,,,,,,331,8,1,2008,DB,0.09
743,96,,1978-09-04,2016,,,,,205,,41,Terence Newman,DB,,,,,,,2003,3,,,,,,360,5,1,2008,DB,0.08
744,2,,1992-04-18,2016,,,,,24,2,,Hayes Pullard,ILB,,,,,,,2015,,,,,,,,219,7,2008,LB,0.0
745,6,,1987-09-08,2012,,,,,21,9,,Maurice Hurt,OL,,,,,,,2011,,,,,,,,217,7,2008,OL,0.53
746,6,,1985-05-16,2013,,,,,73,,3,Derrick Martin,DB,,,,,,,2006,0,,,,,,18,208,6,2008,DB,0.23
747,0,,1988-10-21,2012,,,,,,,,Damien Berry,RB,,,,,,,2012,,,,,,,,,,,RB,1.0
748,0,,1990-07-26,2016,,,,19.4,32,,,Jalston Fowler,FB,,6,,,8,,2015,1,,,,2.0,9.7,58,108,4,2008,FB,0.0
749,76,,1979-03-14,2011,,,,,176,,30,Deon Grant,DB,,,,,,,2001,0,,,,,,267,,,,DB,0.0
750,5,,1989-03-21,2015,,,,76.5,35,,,Dan Herron,RB,,,,,112,,2012,1,,,,4.2,,468,191,6,2008,RB,0.38
751,38,,1983-07-14,2013,,,,,95,,7,Thomas Howard,LB,,,,,,,2006,2,,,,,,169,38,2,2008,LB,0.4
752,3,,1989-12-02,2016,,,,,22,8,,Asa Jackson,CB,,,,,,,2012,,,,,,,,169,5,2008,DB,0.2
753,24,,1988-01-09,2016,,,,372.6,103,,,Andre Roberts,WR,,243,,,,,2010,14,,,,,11.9,2899,88,3,2008,WR,0.1
754,25,,1983-05-08,2012,,,,,90,51,,Ryan Cook,C,,,,,,,2006,,,,,,,,51,2,2008,OL,0.3
755,0,,1988-10-25,2013,,,,4.6,4,,,Patrick Edwards,WR,,5,,,,,2013,0,,,,,9.2,46,,,,WR,0.12
756,0,,1990-12-31,2014,,,,,3,,,Trevardo Williams,OLB,,,,,,,2014,,,,,,,,,,,LB,1.0
757,23,59.8,1988-02-25,2014,,,,428.7,38,,36,Christian Ponder,QB,14-21-1,,,,,,2011,38,,,,6.3,,6658,12,1,2008,QB,0.1
758,29,,1990-09-28,2016,6,,,,70,,,Mychal Kendricks,ILB,,,,,,12.0,2012,,287,,,,,,46,2,2008,LB,0.12
759,10,,1982-03-12,2012,,,,136.6,125,,,Terrance Copper,WR,,84,,,,,2004,6,,,,,12.1,1018,,,,WR,0.02
760,38,,1984-10-18,2013,,,,,99,,13,Chris Houston,DB,,,,,,,2007,3,,,,,,275,41,2,2008,DB,0.16
761,31,,1988-07-01,2016,,,,,104,,21,Kurt Coleman,LB,,,,,,,2010,2,,,,,,238,244,7,2008,LB,0.05
763,9,,1989-06-16,2016,,,,,36,25,,Duke Ihenacho,S,,,,,,,2012,,,,,,,,,,,DB,0.6
765,3,,1991-10-18,2016,,,,,16,10,,Ed Reynolds,FS,,,,,,,2015,,,,,,,,,,,DB,0.0
766,10,,1994-01-02,2016,,,,,29,,2,Ronald Darby,CB,,,,,,,2015,0,,,,,,48,50,2,2008,DB,0.06
767,41,,1983-03-08,2013,3,,,,124,,,Marcus Spears,DE,,,,,,10.0,2005,,143,,,,,,20,1,2008,DL,0.17
769,0,40.0,1990-10-04,2016,,,,0.9,1,,0,David Fales,QB,,,,,,,2016,0,,,,4.4,,22,,,,QB,0.09
770,0,,1991-12-08,2016,,,,,21,,,Isaiah Burse,WR,,,44,,,,2014,0,,,,,,307,,,,WR,0.0
771,10,,1990-05-10,2015,,,,179.6,52,,,Bernard Pierce,RB,,,,,359,,2012,5,,,,3.7,,1345,84,3,2008,RB,0.16
